id,название,описание,подробно,дни,доступно с,ответвление,x,y,после1,после2,после3,после4,после5,после6,после7,после8,после9,после10,требование1,требование2,требование3,требование4,требование5,требование6,требование7,требование8,требование9,требование10,награда1,награда2,награда3,награда4,награда5,награда6,награда7,награда8,награда9,награда10,блокировать1,блокировать2,блокировать3,случайно1,случайно2,случайно3,случайно4,случайно5,случайно6,случайно7,случайно8,случайно9,случайно10
by-state-continuity,Преемственность государства,Сохранить управляемость страны после 2026 года и подготовить длинный политический цикл без немедленной избирательной развилки.,"Сохранить управляемость страны после 2026 года и подготовить длинный политический цикл без немедленной избирательной развилки.

Подробно: направление «Старт» развивает Беларусь через управляемость, промышленную базу, социальную устойчивость и осторожную внешнюю координацию. 

Для игрока это дает долгую ветку до выборного цикла: ранние фокусы укрепляют страну, а политическая развилка появляется только тогда, когда игровая дата доходит до следующего крупного избирательного периода. Игровой эффект: politicalPower=45, stability=4.",35,,Старт,4,1,by-union-balancing,by-industrial-core,by-social-contract,by-security-apparatus,,,,,,,,,,,,,,,,,politicalPower=45,stability=4,,,,,,,,,,,,,,,,,,,,,
by-union-balancing,Баланс Союзного государства,"Уточнить экономические и оборонные обязательства в союзных форматах, сохраняя пространство для собственной политики.","Уточнить экономические и оборонные обязательства в союзных форматах, сохраняя пространство для собственной политики.

Подробно: направление «Интеграция» развивает Беларусь через управляемость, промышленную базу, социальную устойчивость и осторожную внешнюю координацию. 

Для игрока это дает долгую ветку до выборного цикла: ранние фокусы укрепляют страну, а политическая развилка появляется только тогда, когда игровая дата доходит до следующего крупного избирательного периода. Игровой эффект: politicalPower=30, budget=25, stability=2.",55,,Интеграция,2,2,by-border-logistics,,,,,,,,,,by-state-continuity,,,,,,,,,,politicalPower=30,budget=25,stability=2,,,,,,,,,,,,,,,,,,,,
by-industrial-core,Промышленное ядро,"Поддержать машиностроение, калийную логистику, приборостроение и ремонтные мощности через государственные заказы.","Поддержать машиностроение, калийную логистику, приборостроение и ремонтные мощности через государственные заказы.

Подробно: направление «Экономика» развивает Беларусь через управляемость, промышленную базу, социальную устойчивость и осторожную внешнюю координацию. 

Для игрока это дает долгую ветку до выборного цикла: ранние фокусы укрепляют страну, а политическая развилка появляется только тогда, когда игровая дата доходит до следующего крупного избирательного периода. Игровой эффект: factories=3, steel=18, gdp=16.",60,,Экономика,4,2,by-machine-export,,,,,,,,,,by-state-continuity,,,,,,,,,,factories=3,steel=18,gdp=16,,,,,,,,,,,,,,,,,,,,
by-social-contract,Социальный контракт,"Сдержать рост недовольства через зарплаты бюджетников, адресные выплаты и коммунальную предсказуемость.","Сдержать рост недовольства через зарплаты бюджетников, адресные выплаты и коммунальную предсказуемость.

Подробно: направление «Общество» развивает Беларусь через управляемость, промышленную базу, социальную устойчивость и осторожную внешнюю координацию. 

Для игрока это дает долгую ветку до выборного цикла: ранние фокусы укрепляют страну, а политическая развилка появляется только тогда, когда игровая дата доходит до следующего крупного избирательного периода. Игровой эффект: stability=5, food=20, budget=-10.",50,,Общество,6,2,by-regional-stability,,,,,,,,,,by-state-continuity,,,,,,,,,,stability=5,food=20,budget=-10,,,,,,,,,,,,,,,,,,,,
by-border-logistics,Пограничная логистика,"Усилить дороги, склады и пограничные переходы для торговли и безопасности без лишней эскалации.","Усилить дороги, склады и пограничные переходы для торговли и безопасности без лишней эскалации.

Подробно: направление «Интеграция» развивает Беларусь через управляемость, промышленную базу, социальную устойчивость и осторожную внешнюю координацию. 

Для игрока это дает долгую ветку до выборного цикла: ранние фокусы укрепляют страну, а политическая развилка появляется только тогда, когда игровая дата доходит до следующего крупного избирательного периода. Игровой эффект: gdp=15, oil=10, commandPower=15.",55,,Интеграция,2,3,by-pre-election-administration,,,,,,,,,,by-union-balancing,,,,,,,,,,gdp=15,oil=10,commandPower=15,,,,,,,,,,,,,,,,,,,,
by-machine-export,Экспорт машин,"Собрать экспортный контур для техники, комплектующих и сервисного обслуживания на дружественных рынках.","Собрать экспортный контур для техники, комплектующих и сервисного обслуживания на дружественных рынках.

Подробно: направление «Экономика» развивает Беларусь через управляемость, промышленную базу, социальную устойчивость и осторожную внешнюю координацию. 

Для игрока это дает долгую ветку до выборного цикла: ранние фокусы укрепляют страну, а политическая развилка появляется только тогда, когда игровая дата доходит до следующего крупного избирательного периода. Игровой эффект: budget=45, gdp=22, factories=2.",65,,Экономика,4,3,by-pre-election-administration,,,,,,,,,,by-industrial-core,,,,,,,,,,budget=45,gdp=22,factories=2,,,,,,,,,,,,,,,,,,,,
by-regional-stability,Стабильные регионы,"Укрепить районные администрации, больницы, колледжи и локальные рабочие места для удержания населения.","Укрепить районные администрации, больницы, колледжи и локальные рабочие места для удержания населения.

Подробно: направление «Общество» развивает Беларусь через управляемость, промышленную базу, социальную устойчивость и осторожную внешнюю координацию. 

Для игрока это дает долгую ветку до выборного цикла: ранние фокусы укрепляют страну, а политическая развилка появляется только тогда, когда игровая дата доходит до следующего крупного избирательного периода. Игровой эффект: stability=4, manpower=70, gdp=12.",60,,Общество,6,3,by-pre-election-administration,,,,,,,,,,by-social-contract,,,,,,,,,,stability=4,manpower=70,gdp=12,,,,,,,,,,,,,,,,,,,,
by-security-apparatus,Аппарат безопасности,Обновить управление внутренней безопасностью и мобилизационным резервом без нарушения базовой экономики.,"Обновить управление внутренней безопасностью и мобилизационным резервом без нарушения базовой экономики.

Подробно: направление «Безопасность» развивает Беларусь через управляемость, промышленную базу, социальную устойчивость и осторожную внешнюю координацию. 

Для игрока это дает долгую ветку до выборного цикла: ранние фокусы укрепляют страну, а политическая развилка появляется только тогда, когда игровая дата доходит до следующего крупного избирательного периода. Игровой эффект: commandPower=35, warSupport=3, stability=1.",60,,Безопасность,8,3,by-pre-election-administration,,,,,,,,,,by-state-continuity,,,,,,,,,,commandPower=35,warSupport=3,stability=1,,,,,,,,,,,,,,,,,,,,
by-pre-election-administration,Длинная подготовка кампании,"Поддерживать аппарат, экономику и общественный порядок до следующего крупного избирательного цикла.","Поддерживать аппарат, экономику и общественный порядок до следующего крупного избирательного цикла.

Подробно: направление «Политический цикл» развивает Беларусь через управляемость, промышленную базу, социальную устойчивость и осторожную внешнюю координацию. 

Для игрока это дает долгую ветку до выборного цикла: ранние фокусы укрепляют страну, а политическая развилка появляется только тогда, когда игровая дата доходит до следующего крупного избирательного периода. Игровой эффект: politicalPower=65, stability=5, budget=35.",70,,Политический цикл,4,4,by-election-2030,,,,,,,,,,by-border-logistics,by-machine-export,by-regional-stability,by-security-apparatus,,,,,,,politicalPower=65,stability=5,budget=35,,,,,,,,,,,,,,,,,,,,
by-election-2030,Выборы 2030,"К моменту следующего президентского цикла страна открывает политическую развилку между преемственностью, обновлением и управляемым компромиссом.","К моменту следующего президентского цикла страна открывает политическую развилку между преемственностью, обновлением и управляемым компромиссом.

Подробно: направление «Выборы 2030» развивает Беларусь через управляемость, промышленную базу, социальную устойчивость и осторожную внешнюю координацию.  Фокус открывается с 2030-01-26.

Для игрока это дает долгую ветку до выборного цикла: ранние фокусы укрепляют страну, а политическая развилка появляется только тогда, когда игровая дата доходит до следующего крупного избирательного периода. Игровой эффект: politicalPower=30, stability=1.",14,2030-01-26,Выборы 2030,4,5,by-continuity-victory,by-technocratic-renewal,by-social-compromise,,,,,,,,by-pre-election-administration,,,,,,,,,,politicalPower=30,stability=1,,,,,,,,,,,,by-continuity-victory,by-technocratic-renewal,by-social-compromise,,,,,,,
by-continuity-victory,Победа преемственности,"Силовой и административный контур сохраняет ведущую роль, обещая устойчивость и дальнейшую индустриальную политику.","Силовой и административный контур сохраняет ведущую роль, обещая устойчивость и дальнейшую индустриальную политику.

Подробно: направление «Выборы 2030» развивает Беларусь через управляемость, промышленную базу, социальную устойчивость и осторожную внешнюю координацию. 

Для игрока это дает долгую ветку до выборного цикла: ранние фокусы укрепляют страну, а политическая развилка появляется только тогда, когда игровая дата доходит до следующего крупного избирательного периода. Игровой эффект: politicalPower=70, stability=6, commandPower=25.",35,,Выборы 2030,2,6,by-continuity-union-deepening,,,,,,,,,,by-election-2030,,,,,,,,,,politicalPower=70,stability=6,commandPower=25,,,,,,,,Выборы 2030,,,,,,,,,,,,
by-technocratic-renewal,Технократическое обновление,"Группа управленцев получает мандат на цифровизацию предприятий, сервисов и бюджетного контроля.","Группа управленцев получает мандат на цифровизацию предприятий, сервисов и бюджетного контроля.

Подробно: направление «Выборы 2030» развивает Беларусь через управляемость, промышленную базу, социальную устойчивость и осторожную внешнюю координацию. 

Для игрока это дает долгую ветку до выборного цикла: ранние фокусы укрепляют страну, а политическая развилка появляется только тогда, когда игровая дата доходит до следующего крупного избирательного периода. Игровой эффект: politicalPower=55, gdp=22, rare=10.",35,,Выборы 2030,4,6,by-tech-digital-plants,,,,,,,,,,by-election-2030,,,,,,,,,,politicalPower=55,gdp=22,rare=10,,,,,,,,Выборы 2030,,,,,,,,,,,,
by-social-compromise,Социальный компромисс,Социально ориентированный блок усиливает влияние и требует перераспределить выгоды промышленности в регионы.,"Социально ориентированный блок усиливает влияние и требует перераспределить выгоды промышленности в регионы.

Подробно: направление «Выборы 2030» развивает Беларусь через управляемость, промышленную базу, социальную устойчивость и осторожную внешнюю координацию. 

Для игрока это дает долгую ветку до выборного цикла: ранние фокусы укрепляют страну, а политическая развилка появляется только тогда, когда игровая дата доходит до следующего крупного избирательного периода. Игровой эффект: politicalPower=55, stability=5, food=25.",35,,Выборы 2030,6,6,by-social-regional-budget,,,,,,,,,,by-election-2030,,,,,,,,,,politicalPower=55,stability=5,food=25,,,,,,,,Выборы 2030,,,,,,,,,,,,
by-continuity-union-deepening,Глубокая интеграция,"Победившая преемственность делает ставку на союзные рынки, оборонную логистику и совместные программы.","Победившая преемственность делает ставку на союзные рынки, оборонную логистику и совместные программы.

Подробно: направление «Преемственность» развивает Беларусь через управляемость, промышленную базу, социальную устойчивость и осторожную внешнюю координацию. 

Для игрока это дает долгую ветку до выборного цикла: ранние фокусы укрепляют страну, а политическая развилка появляется только тогда, когда игровая дата доходит до следующего крупного избирательного периода. Игровой эффект: budget=55, commandPower=30, gdp=18.",60,,Преемственность,2,7,by-continuity-order-state,,,,,,,,,,by-continuity-victory,,,,,,,,,,budget=55,commandPower=30,gdp=18,,,,,,,,,,,,,,,,,,,,
by-continuity-order-state,Государство порядка,Закрепить модель управляемой стабильности и быстрых решений для администрации и промышленности.,"Закрепить модель управляемой стабильности и быстрых решений для администрации и промышленности.

Подробно: направление «Преемственность» развивает Беларусь через управляемость, промышленную базу, социальную устойчивость и осторожную внешнюю координацию. 

Для игрока это дает долгую ветку до выборного цикла: ранние фокусы укрепляют страну, а политическая развилка появляется только тогда, когда игровая дата доходит до следующего крупного избирательного периода. Игровой эффект: politicalPower=90, stability=8, factories=3.",75,,Преемственность,2,8,,,,,,,,,,,by-continuity-union-deepening,,,,,,,,,,politicalPower=90,stability=8,factories=3,,,,,,,,,,,,,,,,,,,,
by-tech-digital-plants,Цифровые заводы,"Внедрить учет, роботизацию и прозрачные заказы на ключевых промышленных площадках.","Внедрить учет, роботизацию и прозрачные заказы на ключевых промышленных площадках.

Подробно: направление «Технократы» развивает Беларусь через управляемость, промышленную базу, социальную устойчивость и осторожную внешнюю координацию. 

Для игрока это дает долгую ветку до выборного цикла: ранние фокусы укрепляют страну, а политическая развилка появляется только тогда, когда игровая дата доходит до следующего крупного избирательного периода. Игровой эффект: gdp=30, rare=20, factories=2.",60,,Технократы,4,7,by-tech-service-state,,,,,,,,,,by-technocratic-renewal,,,,,,,,,,gdp=30,rare=20,factories=2,,,,,,,,,,,,,,,,,,,,
by-tech-service-state,Сервисное государство,"Сократить бумажные процедуры и перевести социальные, налоговые и промышленные сервисы в единую цифровую систему.","Сократить бумажные процедуры и перевести социальные, налоговые и промышленные сервисы в единую цифровую систему.

Подробно: направление «Технократы» развивает Беларусь через управляемость, промышленную базу, социальную устойчивость и осторожную внешнюю координацию. 

Для игрока это дает долгую ветку до выборного цикла: ранние фокусы укрепляют страну, а политическая развилка появляется только тогда, когда игровая дата доходит до следующего крупного избирательного периода. Игровой эффект: politicalPower=70, gdp=35, stability=4.",70,,Технократы,4,8,,,,,,,,,,,by-tech-digital-plants,,,,,,,,,,politicalPower=70,gdp=35,stability=4,,,,,,,,,,,,,,,,,,,,
by-social-regional-budget,Региональный бюджет,"Направить часть доходов промышленности на районы, коммунальную инфраструктуру и медицину.","Направить часть доходов промышленности на районы, коммунальную инфраструктуру и медицину.

Подробно: направление «Социальный курс» развивает Беларусь через управляемость, промышленную базу, социальную устойчивость и осторожную внешнюю координацию. 

Для игрока это дает долгую ветку до выборного цикла: ранние фокусы укрепляют страну, а политическая развилка появляется только тогда, когда игровая дата доходит до следующего крупного избирательного периода. Игровой эффект: stability=7, food=35, budget=20.",60,,Социальный курс,6,7,by-social-people-state,,,,,,,,,,by-social-compromise,,,,,,,,,,stability=7,food=35,budget=20,,,,,,,,,,,,,,,,,,,,
by-social-people-state,Социальное государство,"Закрепить курс на занятость, доступную медицину и поддержку малых городов как основу легитимности.","Закрепить курс на занятость, доступную медицину и поддержку малых городов как основу легитимности.

Подробно: направление «Социальный курс» развивает Беларусь через управляемость, промышленную базу, социальную устойчивость и осторожную внешнюю координацию. 

Для игрока это дает долгую ветку до выборного цикла: ранние фокусы укрепляют страну, а политическая развилка появляется только тогда, когда игровая дата доходит до следующего крупного избирательного периода. Игровой эффект: stability=10, politicalPower=75, manpower=120.",75,,Социальный курс,6,8,,,,,,,,,,,by-social-regional-budget,,,,,,,,,,stability=10,politicalPower=75,manpower=120,,,,,,,,,,,,,,,,,,,,
